name,moneycontrol_id
Axis Long Term Equity - Direct (G),axis-long-term-equity-direct/MAA192
CR Equity Tax Saver Fund - D (G),cr-equity-tax-saver-fund-d/MCA200
Axis Long Term Equity Fund (G),axis-long-term-equity-fund/MAA011
CR Equity Tax Saver Fund (G),cr-equity-tax-saver-fund/MCA152
Taurus Tax Shield - Direct (G),taurus-tax-shield-direct/MCM151
Invesco India Tax Plan - DP (G),invesco-india-tax-plan-dp/MLI550
ICICI Pru Long Term Equity-Tax Svng-DP-G,icici-pru-long-term-equity-tax-svng-dp-g/MPI1126
Taurus Tax Shield (G),taurus-tax-shield/MCM014
LIC Tax Plan - Direct (G),lic-tax-plan-direct/MJB147
Quantum Tax Saving Fund - D(G),quantum-tax-saving-fund-d/MQU008
Quantum Tax Saving Fund - (G),quantum-tax-saving-fund-/MQU023
Mirae Asset Tax Saver Fund - DP  (G),mirae-asset-tax-saver-fund-dp/MMA150
ICICI Pru Long Term Equity (Tax Svng)-G,icici-pru-long-term-equity-tax-svng-g/MPI007
Invesco India Tax Plan (G),invesco-india-tax-plan/MLI011
LIC Tax Plan (G),lic-tax-plan/MJB013
IDBI Equity Advantage -Direct (G),idbi-equity-advantage-direct/MIB143
Kotak Tax Saver - Direct (G),kotak-tax-saver-direct/MKM518
ABSL Tax Relief '96-Direct (G),absl-tax-relief-96-direct/MBS847
HDFC Long Term Advant. - Direct (G),hdfc-long-term-advant-direct/MHD1157
Sundaram LT Tax Advantage- Sr-I - DP (G),sundaram-lt-tax-advantage-sr-i-dp/MSN1095
ABSL Tax Plan-Direct (G),absl-tax-plan-direct/MBS845
Franklin (I) Tax Shield -Direct (G),franklin-i-tax-shield-direct/MTE311
Sundaram LT Tax Advantage- Sr-II- DP (G),sundaram-lt-tax-advantage-sr-ii-dp/MSN1191
Sundaram LT Tax Advantage- Sr-I - RP (G),sundaram-lt-tax-advantage-sr-i-rp/MSN1093
HDFC Long Term Advantage (G),hdfc-long-term-advantage/MHD009
Union Tax Saver - Direct (G),union-tax-saver-direct/MUK034
Kotak Tax Saver - Regular (G),kotak-tax-saver-regular/MKM081
ABSL Tax Relief '96 (G),absl-tax-relief-96/MBS291
DHFL Pramerica LTEF-DP. (G),dhfl-pramerica-ltef-dp-/MPA163
JM Tax Gain Fund -Direct (G),jm-tax-gain-fund-direct/MJM315
IDBI Equity Advantage - Reg (G),idbi-equity-advantage-reg/MIB142
